cusip;year;inva;dt_75;dt_76;dt_77;dt_78;dt_79;dt_80;dt_81;dt_82;dt_83;dt_84;dt_85;dt_86;dt_87;vala;debta;cfa;sales
1030;74;0.105;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1479;0.52394;0.10339;1.57915977090578
1030;75;0.04006;1;0;0;0;0;0;0;0;0;0;0;0;0;0.07581;0.613;0.07936;2.15180215265876
1030;76;0.09213;0;1;0;0;0;0;0;0;0;0;0;0;0;0.18772;0.56631;0.08975;1.84456381825983
1030;77;0.13567;0;0;1;0;0;0;0;0;0;0;0;0;0;0.25272;0.47173;0.12865;1.76750851416222
1030;78;0.16206;0;0;0;1;0;0;0;0;0;0;0;0;0;0.29121;0.56782;0.14637;1.89903996532483
1030;79;0.17429;0;0;0;0;1;0;0;0;0;0;0;0;0;0.28166;0.58567;0.18761;1.87769933788586
1030;80;0.14632;0;0;0;0;0;1;0;0;0;0;0;0;0;0.36118;0.514;0.0349;1.30614968940001
1030;81;0.17356;0;0;0;0;0;0;1;0;0;0;0;0;0;0.44336;0.54543;0.03209;1.04289724409245
1030;82;0.06026;0;0;0;0;0;0;0;1;0;0;0;0;0;0.33447;0.60154;-0.02193;0.96929204713608
1030;83;0.07199;0;0;0;0;0;0;0;0;1;0;0;0;0;0.96448;0.14933;0.10148;1.29812808038626
1030;84;0.10428;0;0;0;0;0;0;0;0;0;1;0;0;0;1.64754;0.14047;0.21969;1.9976849028661
1030;85;0.19188;0;0;0;0;0;0;0;0;0;0;1;0;0;1.96695;0.24566;0.17552;2.10676773976151
1030;86;0.15774;0;0;0;0;0;0;0;0;0;0;0;1;0;1.4058;0.28885;0.22521;2.35442898773849
1030;87;0.17749;0;0;0;0;0;0;0;0;0;0;0;0;1;1.05714;0.22954;0.20558;2.2471889401686
1723;74;0.10103;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3735;0.3172;0.09633;1.56995353651231
1723;75;0.08098;1;0;0;0;0;0;0;0;0;0;0;0;0;0.12736;0.3006;0.04428;1.55828338513563
1723;76;0.0654;0;1;0;0;0;0;0;0;0;0;0;0;0;0.16537;0.28036;0.08036;1.74811331828255
1723;77;0.08839;0;0;1;0;0;0;0;0;0;0;0;0;0;0.24537;0.2809;0.10102;1.79327660779077
1723;78;0.09016;0;0;0;1;0;0;0;0;0;0;0;0;0;0.31631;0.28839;0.09006;1.72277843927975
1723;79;0.07387;0;0;0;0;1;0;0;0;0;0;0;0;0;0.59782;0.23842;0.17937;1.95518676156935
1723;80;0.05716;0;0;0;0;0;1;0;0;0;0;0;0;0;0.31229;0.24034;0.1079;1.74750245669205
1723;81;0.08139;0;0;0;0;0;0;1;0;0;0;0;0;0;0.32927;0.23869;0.07727;1.81626713082648
1723;82;0.07892;0;0;0;0;0;0;0;1;0;0;0;0;0;0.40209;0.3402;-0.04523;2.05039813029218
1723;83;0.0549;0;0;0;0;0;0;0;0;1;0;0;0;0;0.04255;0.03906;-0.05735;2.26591798988502
1723;84;0.07442;0;0;0;0;0;0;0;0;0;1;0;0;0;0.2529;0.05839;0.12299;2.39636998392096
1723;85;0.0746;0;0;0;0;0;0;0;0;0;0;1;0;0;0.13006;0.05586;0.18171;2.89507340495708
1723;86;0.01524;0;0;0;0;0;0;0;0;0;0;0;1;0;0.7946;0.1531;0.19803;3.01596711061849
1723;87;0.03948;0;0;0;0;0;0;0;0;0;0;0;0;1;0.47727;0.58933;0.0592;1.00178894333785
2824;74;0.08225;0;0;0;0;0;0;0;0;0;0;0;0;0;1.36721;0.23586;0.28018;1.25826974358309
2824;75;0.06632;1;0;0;0;0;0;0;0;0;0;0;0;0;1.18013;0.43712;0.26985;1.3065218573179
2824;76;0.05699;0;1;0;0;0;0;0;0;0;0;0;0;0;1.42374;0.3488;0.24275;1.19161686447248
2824;77;0.05634;0;0;1;0;0;0;0;0;0;0;0;0;0;1.51339;0.26318;0.2565;1.15884073839169
2824;78;0.06169;0;0;0;1;0;0;0;0;0;0;0;0;0;1.47271;0.18656;0.25682;1.09717347636876
2824;79;0.06947;0;0;0;0;1;0;0;0;0;0;0;0;0;1.48296;0.15794;0.25501;1.05940525318096
2824;80;0.08297;0;0;0;0;0;1;0;0;0;0;0;0;0;1.57122;0.15301;0.25483;1.06653959869671
2824;81;0.09545;0;0;0;0;0;0;1;0;0;0;0;0;0;1.78122;0.1088;0.24071;1.04034557287457
2824;82;0.09832;0;0;0;0;0;0;0;1;0;0;0;0;0;1.53253;0.11089;0.26039;1.08540962450408
2824;83;0.11555;0;0;0;0;0;0;0;0;1;0;0;0;0;1.89338;0.09031;0.27391;1.04143265446886
2824;84;0.12575;0;0;0;0;0;0;0;0;0;1;0;0;0;2.03524;0.24747;0.32414;1.08492926140466
2824;85;0.11131;0;0;0;0;0;0;0;0;0;0;1;0;0;1.88534;0.24725;0.37454;1.16583148800521
2824;86;0.14205;0;0;0;0;0;0;0;0;0;0;0;1;0;3.11929;0.23771;0.42403;1.2770455692405
2824;87;0.1481;0;0;0;0;0;0;0;0;0;0;0;0;1;3.86845;0.14761;0.508;1.41077422464511
4446;74;0.02086;0;0;0;0;0;0;0;0;0;0;0;0;0;0.40936;0.40114;0.16218;3.11575027687678
4446;75;0.03167;1;0;0;0;0;0;0;0;0;0;0;0;0;0.385;0.32942;0.32459;3.43062428852941
4446;76;0.01606;0;1;0;0;0;0;0;0;0;0;0;0;0;0.89436;0.26219;0.51452;4.89930806738233
4446;77;0.03109;0;0;1;0;0;0;0;0;0;0;0;0;0;0.67654;0.16231;0.35577;3.37680683749175
4446;78;0.03267;0;0;0;1;0;0;0;0;0;0;0;0;0;0.96574;0.37414;0.29254;3.41149215469172
4446;79;0.01977;0;0;0;0;1;0;0;0;0;0;0;0;0;0.65947;0.31703;0.27865;3.51514512853315
4446;80;0.02549;0;0;0;0;0;1;0;0;0;0;0;0;0;0.64638;0.37092;0.25638;3.44302278499012
4446;81;0.02649;0;0;0;0;0;0;1;0;0;0;0;0;0;0.62493;0.32886;0.24668;3.55560746638153
4446;82;0.01544;0;0;0;0;0;0;0;1;0;0;0;0;0;0.6561;0.32856;0.23082;3.6546600985381
4446;83;0.0141;0;0;0;0;0;0;0;0;1;0;0;0;0;0.76308;0.33524;0.25397;4.12517106564812
4446;84;0.06491;0;0;0;0;0;0;0;0;0;1;0;0;0;1.77378;0.30766;0.2773;4.00244682956119
4446;85;0.01808;0;0;0;0;0;0;0;0;0;0;1;0;0;1.4039;0.24667;0.35534;4.15543800031379
4446;86;0.01865;0;0;0;0;0;0;0;0;0;0;0;1;0;2.09779;0.22892;0.38608;4.16371740412399
4446;87;0.02256;0;0;0;0;0;0;0;0;0;0;0;0;1;2.73552;0.17177;0.37735;4.56290198284615
4626;74;0.03847;0;0;0;0;0;0;0;0;0;0;0;0;0;0.57038;0.12204;0.16574;1.35470583616696
4626;75;0.05036;1;0;0;0;0;0;0;0;0;0;0;0;0;0.22307;0.43075;0.08738;1.09226796943104
4626;76;0.05713;0;1;0;0;0;0;0;0;0;0;0;0;0;0.21237;0.36303;0.10199;1.41559113269616
4626;77;0.0282;0;0;1;0;0;0;0;0;0;0;0;0;0;0.25481;0.33138;0.06024;1.30021191105885
4626;78;0.05343;0;0;0;1;0;0;0;0;0;0;0;0;0;0.33394;0.30521;0.10879;1.33511716511545
4626;79;0.06903;0;0;0;0;1;0;0;0;0;0;0;0;0;0.57564;0.33364;0.18243;1.71771440207287
4626;80;0.09916;0;0;0;0;0;1;0;0;0;0;0;0;0;0.4742;0.27315;0.19417;1.61397224263545
4626;81;0.06451;0;0;0;0;0;0;1;0;0;0;0;0;0;0.47896;0.32071;0.13927;1.53977153209676
4626;82;0.0566;0;0;0;0;0;0;0;1;0;0;0;0;0;0.33325;0.25561;0.14872;1.58600032136042
4626;83;0.06119;0;0;0;0;0;0;0;0;1;0;0;0;0;0.35133;0.19005;0.16438;1.39649881601958
4626;84;0.03221;0;0;0;0;0;0;0;0;0;1;0;0;0;0.61876;0.20885;-0.07114;1.10957091287135
4626;85;0.04329;0;0;0;0;0;0;0;0;0;0;1;0;0;0.58871;0.18558;-0.06121;1.37868268085628
4626;86;0.05487;0;0;0;0;0;0;0;0;0;0;0;1;0;0.53548;0.39428;0.15698;1.44935151699313
4626;87;0.03957;0;0;0;0;0;0;0;0;0;0;0;0;1;0.46794;0.3183;0.09196;1.40409406834561
4816;74;0.03328;0;0;0;0;0;0;0;0;0;0;0;0;0;0.57439;0.10808;0.19479;1.38639622635805
4816;75;0.04459;1;0;0;0;0;0;0;0;0;0;0;0;0;0.49929;0.08281;0.21318;1.36933974332596
4816;76;0.04962;0;1;0;0;0;0;0;0;0;0;0;0;0;0.68077;0.31839;0.22124;1.42070692229426
4816;77;0.04943;0;0;1;0;0;0;0;0;0;0;0;0;0;0.6767;0.37287;0.20127;1.4084520847184
4816;78;0.04016;0;0;0;1;0;0;0;0;0;0;0;0;0;1.06694;0.27256;0.23987;1.56335239301734
4816;79;0.04502;0;0;0;0;1;0;0;0;0;0;0;0;0;1.36055;0.36353;0.24811;1.53246792677652
4816;80;0.04175;0;0;0;0;0;1;0;0;0;0;0;0;0;1.26509;0.3758;0.23975;1.51206316638078
4816;81;0.03634;0;0;0;0;0;0;1;0;0;0;0;0;0;2.37406;0.24777;0.27017;1.60438344553765
4816;82;0.04635;0;0;0;0;0;0;0;1;0;0;0;0;0;1.83971;0.26773;0.30126;1.65168831933385
4816;83;0.034;0;0;0;0;0;0;0;0;1;0;0;0;0;1.87028;0.24713;0.25683;1.61200241759941
